2022-03-19 01:07:17,477 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.1.gz, dataSize=0, replicationType=RATIS, replicationFactor=ONE, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-5829556749/multiUpload.1.gz-32b8aee7-d883-4374-a32b-06caf90bd136-107980523875205132-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-5829556749/multiUpload.1.gz-32b8aee7-d883-4374-a32b-06caf90bd136-107980523875205132-2" ]} | ret=SUCCESS |  
2022-03-19 01:07:17,520 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=INITIATE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=0, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:17,599 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-19 01:07:17,648 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=THREE, clientID=107980523935236112} | ret=SUCCESS |  
2022-03-19 01:07:17,664 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-19 01:07:17,698 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_BLOCK {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=THREE, clientID=107980523938775057} | ret=SUCCESS |  
2022-03-19 01:07:17,947 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=2097153, replicationType=RATIS, replicationFactor=ONE, partNumber=2, partName=/s3v/bucket-ozone-test-5829556749/multiUpload.2.gz-739516b3-d40b-47b7-b325-f9518bd03d9a-107980523930189839-2} | ret=SUCCESS |  
2022-03-19 01:07:18,153 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_MULTIPART_UPLOAD_PARTKEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=8388608, replicationType=RATIS, replicationFactor=ONE, partNumber=1, partName=/s3v/bucket-ozone-test-5829556749/multiUpload.2.gz-739516b3-d40b-47b7-b325-f9518bd03d9a-107980523930189839-1} | ret=SUCCESS |  
2022-03-19 01:07:18,199 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMPLETE_MULTIPART_UPLOAD {volume=s3v, bucket=bucket-ozone-test-5829556749, key=multiUpload.2.gz, dataSize=0, replicationType=RATIS, replicationFactor=ONE, multipartList=[partNumber: 1 partName: "/s3v/bucket-ozone-test-5829556749/multiUpload.2.gz-739516b3-d40b-47b7-b325-f9518bd03d9a-107980523930189839-1" , partNumber: 2 partName: "/s3v/bucket-ozone-test-5829556749/multiUpload.2.gz-739516b3-d40b-47b7-b325-f9518bd03d9a-107980523930189839-2" ]} | ret=SUCCESS |  
2022-03-19 01:07:18,226 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-qsccyhmiii, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647652038218, bucketEncryptionKey=null, modificationTime=1647652038218, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
