2022-08-09 16:12:01,160 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:01,251 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:22,071 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:31,190 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:31,244 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:32,130 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:32,217 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:52,034 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:52,996 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:53,042 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:53,205 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:12:53,233 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:23,083 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:23,163 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:23,198 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:53,100 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:53,192 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:13:53,212 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:14:23,184 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
