2022-03-22 02:18:00,880 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:18:30,771 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:18:30,814 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:18:30,898 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:00,784 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:00,810 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:00,881 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:30,763 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:30,870 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:19:30,885 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:00,756 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:00,809 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:00,914 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:30,775 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:30,821 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:20:30,913 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:00,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:00,796 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:00,893 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:30,841 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:30,876 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:21:30,890 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:22:00,737 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:22:00,830 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:22:00,885 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
